jogo_terminado,id_jogo,ano_copa,time,mandante,oponente,vitoria,empate,derrota,gols_marcados,gols_tomados,escanteios_afavor,gols_marcados_primeiro_tempo,gols_tomados_primeiro_tempo,abriu_placar,ambos_marcaram,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,posse_bola,chutes,chutes_gol,precisao_chute,ranking_fifa_time,ranking_fifa_oponente,diferenca_ranking,zebra
1,1,2010,South Africa,1,Mexico,0,1,0,1,1,4,0,0,1,1,2,0,17,42,10,6,0.6,465.90909090909093,868.9090909090909,-402.99999999999994,0
1,1,2010,Mexico,0,South Africa,0,1,0,1,1,5,0,0,0,1,2,0,13,58,13,6,0.4615384615384616,868.9090909090909,465.90909090909093,402.99999999999994,0
1,2,2010,Uruguay,1,France,0,1,0,0,0,0,0,0,0,0,3,1,13,49,7,4,0.5714285714285714,1048.090909090909,970.4545454545456,77.63636363636351,1
1,2,2010,France,0,Uruguay,0,1,0,0,0,4,0,0,0,0,3,0,20,51,13,4,0.3076923076923077,970.4545454545456,1048.090909090909,-77.63636363636351,1
1,3,2010,South Korea,1,Greece,1,0,0,2,0,6,1,0,1,0,0,0,14,51,12,8,0.6666666666666666,638.2727272727273,1006.9090909090908,-368.6363636363636,0
1,3,2010,Greece,0,South Korea,0,0,1,0,2,11,0,1,0,0,1,0,12,49,8,3,0.375,1006.9090909090908,638.2727272727273,368.6363636363636,0
1,4,2010,Argentina,1,Nigeria,1,0,0,1,0,10,1,0,1,0,1,0,7,59,16,8,0.5,1213,809.7272727272727,403.27272727272725,0
1,4,2010,Nigeria,0,Argentina,0,0,1,0,1,4,0,1,0,0,1,0,8,41,10,2,0.2,809.7272727272727,1213,-403.27272727272725,0
1,5,2010,England,1,United States,0,1,0,1,1,7,1,1,1,1,3,0,12,57,16,9,0.5625,1139.2727272727273,920.2727272727273,219,1
1,5,2010,United States,0,England,0,1,0,1,1,4,1,1,0,1,3,0,12,43,12,5,0.4166666666666667,920.2727272727273,1139.2727272727273,-219,1
1,6,2010,Algeria,1,Slovenia,0,0,1,0,1,4,0,0,0,0,2,1,16,52,11,3,0.2727272727272727,763.8181818181819,875.1818181818181,-111.36363636363626,0
1,6,2010,Slovenia,0,Algeria,1,0,0,1,0,3,0,0,1,0,2,0,10,48,7,5,0.7142857142857143,875.1818181818181,763.8181818181819,111.36363636363626,0
1,7,2010,Serbia,1,Ghana,0,0,1,0,1,4,0,0,0,0,3,1,10,51,11,3,0.2727272727272727,922.3636363636364,853.0909090909091,69.27272727272725,1
1,7,2010,Ghana,0,Serbia,1,0,0,1,0,4,0,0,1,0,2,0,15,49,13,4,0.3076923076923077,853.0909090909091,922.3636363636364,-69.27272727272725,1
1,8,2010,Germany,1,Australia,1,0,0,4,0,4,2,0,1,0,2,0,10,59,17,11,0.6470588235294118,1327.2727272727273,874.3636363636364,452.9090909090909,0
1,8,2010,Australia,0,Germany,0,0,1,0,4,7,0,2,0,0,3,1,18,41,9,3,0.3333333333333333,874.3636363636364,1327.2727272727273,-452.9090909090909,0
1,9,2010,Netherlands,1,Denmark,1,0,0,2,0,6,0,0,1,0,2,0,13,56,15,8,0.5333333333333333,1493.6363636363635,789.9090909090909,703.7272727272729,0
1,9,2010,Denmark,0,Netherlands,0,0,1,0,2,2,0,0,0,0,1,0,20,44,8,4,0.5,789.9090909090909,1493.6363636363635,-703.7272727272729,0
1,10,2010,Japan,1,Cameroon,1,0,0,1,0,0,1,0,1,0,1,0,20,45,5,5,1,735.9090909090909,782,-46.09090909090912,0
1,10,2010,Cameroon,0,Japan,0,0,1,0,1,3,0,1,0,0,1,0,29,55,8,4,0.5,782,735.9090909090909,46.09090909090912,0
